PUBCHEM_SUBSTANCE_ID,smiles
17004699,Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1
17126058,C=CCOc1c(Cl)cc(/C=c2/sc3n(c2=O)C(c2ccc(OCC)cc2)C(C(=O)OCC)=C(C)N=3)cc1OC
17001054,CSC1=N/C(=N\c2c(C)cccc2C)C2(CCCCC2)N1c1cccc(C)c1
16994988,COc1ccc(N2C(SC)=N/C(=N\c3ccc(Cl)cc3)C23CCC(C)CC3)cc1
17058451,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(I)cc3)c(=O)n2C1c1ccc(OC)cc1OC
124752014,Cc1cccn2c(=O)c3cc(C(=O)NCc4ccc(F)cc4)c(=N)n(Cc4ccncc4)c3nc12
17121324,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(=O)c4ccc(Cl)cc4)cc3)c(=O)n2C1c1ccccc1
16991551,CSC1=N/C(=N\c2ccccc2)C2(CCCCC2)N1c1ccc(Cl)cc1
16966138,CSC1=N/C(=N\c2c(C)cccc2C)C2(CCCC2)N1c1ccc(O)cc1
17023896,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccccc3F)c(=O)n2C1c1ccc(OC(C)=O)cc1
254527812,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2)N1
254527767,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2ccc(O)cc2)N1
16975373,Cc1cccn2c(=O)c3cc(C(=O)NCc4cccnc4)c(=N)n(Cc4ccncc4)c3nc12
17024279,O=C(O)C1Cc2c([nH]c3ccccc23)C(c2cc([N+](=O)[O-])ccc2O)N1
16958651,CC1NC(C(=O)O)Cc2c1[nH]c1ccccc21
17110435,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4ccc(N(C)C)o4)c(=O)n32)cc1
17106728,COc1ccccc1N1C(=N)S/C(=C\c2ccc(-c3ccccc3C(=O)O)o2)C1=O
17094939,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(Cl)ccc3OS(=O)(=O)c3ccc(C)cc3)c(=O)n2C1c1ccccc1
254527765,COc1ccc(/C=C2/SC(=O)N(c3ccccc3)C2=O)cc1
17023568,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(N(CC)CC)cc3)c(=O)n2C1c1ccc(OC)cc1
92091080,COc1ccc(/C=C2/SC(=S)N(c3ccccc3)C2=O)cc1
17110444,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4cc(Br)c(OC)cc4OC)c(=O)n32)cc1
17126884,COc1cc(/C=C2/SC(=N)N(c3ccccc3F)C2=O)ccc1O
17121323,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(=O)c4cccc(Br)c4)cc3)c(=O)n2C1c1ccccc1
163629112,CCOC(=O)c1cnc2ccc(OC)cc2c1NCCCC(=O)O
17130672,CCCCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C/c4ccccc4OCC)c(=O)n32)cc1OC
17110221,COc1ccc(/C=C2\SC(=N)N(c3ccc(OC)cc3)C2=O)cc1
124353745,CCCCCn1c(=N)c(C(=O)NCc2ccc(C)cc2)cc2c(=O)n3ccccc3nc21
17007315,COc1ccccc1N1C(=O)/C(=C\c2ccc(C(C)C)cc2)SC1=S
17004825,COc1ccc(/C=C2\SC(=O)N(c3ccccc3OC)C2=O)cc1
17147300,CCOC(=O)c1cnc2ccc(C(=O)OC)cc2c1NCCCN(C)C
17015109,C=CCn1cc(/C=c2\sc3n(c2=O)C(c2ccc(OCC)c(OCC)c2)C(C(=O)OCC)=C(C)N=3)c2ccccc21
16972478,COc1ccc(/C=C2/SC(=S)N(c3ccccc3OC)C2=O)cc1OC
16972475,COc1ccccc1N1C(=O)/C(=C\c2ccccc2)SC1=S
16963761,COc1ccc(/C=C2\SC(=O)N(C)C2=O)cc1
16954508,CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1
56364599,CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c(O)c(CN(C)C)ccc12
17121322,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC(=O)c4ccccc4Cl)cc3)c(=O)n2C1c1ccccc1
17012022,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(CC)CC)cc3)c(=O)n2C1c1ccc(OC)c(OC)c1
124353641,CCOC(=O)c1c(C)n(-c2ccc(OC)cc2)c2ccc(OC(C)=O)cc12
16969557,CCOc1ccc(/C=C2/SC(Nc3cccc(C)c3)=NC2=O)cc1
17034265,CC(=O)Oc1ccc2c(c1)c(C(C)=O)c(C)n2-c1ccccc1
124752203,CCOC(=O)c1cc2c(=O)n3ccccc3nc2n(CCc2ccc(OC)c(OC)c2)c1=N
17033260,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OS(=O)(=O)c3ccc(C)cc3)cc12
16983913,CCOC(=O)c1c(C)n(-c2cccc(C)c2)c2ccc(OC(C)=O)cc12
16967907,CCOC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(OC(=O)/C=C/c3ccccc3)cc12
16967906,CCOC(=O)c1c(C)n(-c2ccc(C)cc2C)c2ccc(OC(=O)/C=C/c3ccccc3)cc12
16967905,COc1ccc(-n2c(C)c(C(C)=O)c3cc(OC(=O)/C=C/c4ccccc4)ccc32)cc1
16967899,CC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(OC(=O)COc3ccccc3)cc12
16967897,CCOC(=O)c1c(C)n(-c2ccc(OCC)cc2)c2ccc(OC(=O)COc3ccccc3)cc12
16967896,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)COc3ccccc3)cc12
16967271,Cc1c(C(=O)c2ccccc2)c2cc(OC(=O)c3ccccc3)ccc2n1-c1ccccc1
16963777,CCOC(=O)c1c(C)n(-c2ccc(OC)cc2)c2ccc(OC(=O)C#Cc3ccccc3)cc12
124752261,C=CCNC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(CCc2ccc(OC)cc2)c1=N
17009030,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3[N+](=O)[O-])c(=O)n2C1c1ccc(OC)c(OC)c1
16963380,CCOC(=O)c1c(C)n(C(C)C)c2ccc(OC(=O)c3ccccc3)cc12
